dataproduct_type,dataproduct_subtype,facility_name,calib_level,target_name,obs_id,obs_collection,obs_publisher_did,access_url,access_format,s_resolution,s_xel1,s_xel2,t_xel,t_min,t_max,t_exptime,t_resolution,em_xel,em_min,em_max,em_res_power,em_filter_name,o_ucd,pol_xel,instrument_name,lsst_visit,lsst_detector,lsst_tract,lsst_patch,lsst_band,lsst_filter,obs_title,s_ra,s_dec,s_fov,s_region
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-46,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-b071-7326-a2b6-6ca5d2a05621,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-b071-7326-a2b6-6ca5d2a05621,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,46,i,,deep_coadd - i - tract=5063 patch=46,52.80541736569021,-27.6036811288421,0.2592691550395983,POLYGON ICRS 52.701657 -27.695098 52.908707 -27.695518 52.909005 -27.512186 52.702300 -27.511769
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-47,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-7d23-7b7c-b4a9-56b80dbf5db6,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-7d23-7b7c-b4a9-56b80dbf5db6,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,47,i,,deep_coadd - i - tract=5063 patch=47,52.61735152616543,-27.603174126570615,0.2592635238476815,POLYGON ICRS 52.513439 -27.694449 52.720479 -27.695149 52.721091 -27.511820 52.514396 -27.511126
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-48,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-68e6-7beb-acea-99847c342c43,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-68e6-7beb-acea-99847c342c43,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,48,i,,deep_coadd - i - tract=5063 patch=48,52.42929581814349,-27.602413696948982,0.2592546028251907,POLYGON ICRS 52.325232 -27.693546 52.532260 -27.694525 52.533186 -27.511201 52.326503 -27.510229
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-49,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-3c6f-7963-8b02-813273978003,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-3c6f-7963-8b02-813273978003,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,49,i,,deep_coadd - i - tract=5063 patch=49,52.24125429212747,-27.601399903145733,0.25924239288092077,POLYGON ICRS 52.137043 -27.692388 52.344052 -27.693648 52.345292 -27.510330 52.138627 -27.509081
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-50,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-2809-795a-8872-0a74133eeda8,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-2809-795a-8872-0a74133eeda8,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,50,i,,deep_coadd - i - tract=5063 patch=50,53.93251683569404,-27.434752453524943,0.2592423984586819,POLYGON ICRS 53.829873 -27.526996 54.036569 -27.525745 54.034990 -27.342438 53.828638 -27.343678
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-51,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-a7d0-7f5f-b469-8c7317a543e4,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-a7d0-7f5f-b469-8c7317a543e4,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,51,i,,deep_coadd - i - tract=5063 patch=51,53.744759985032616,-27.435758992762803,0.2592546069473898,POLYGON ICRS 53.641951 -27.527867 53.848665 -27.526895 53.847398 -27.343578 53.641028 -27.344543
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-52,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-9381-7b5d-a711-fd5533d76227,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-9381-7b5d-a711-fd5533d76227,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,52,i,,deep_coadd - i - tract=5063 patch=52,53.55698901802497,-27.43651395979425,0.25926352650806705,POLYGON ICRS 53.454017 -27.528486 53.660744 -27.527792 53.659790 -27.344468 53.453407 -27.345157
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-53,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-6739-74ad-90ff-9e16d0f17d33,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-6739-74ad-90ff-9e16d0f17d33,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,53,i,,deep_coadd - i - tract=5063 patch=53,53.369207966816155,-27.43701729196723,0.25926915623414093,POLYGON ICRS 53.266075 -27.528853 53.472811 -27.528436 53.472170 -27.345107 53.265778 -27.345521
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-54,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-ee61-7642-b31d-70fbb6279d91,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-ee61-7642-b31d-70fbb6279d91,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,54,i,,deep_coadd - i - tract=5063 patch=54,53.18142086483033,-27.43726894752411,0.25927149580988923,POLYGON ICRS 53.078129 -27.528966 53.284869 -27.528827 53.284541 -27.345496 53.078145 -27.345634
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-55,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-d26c-7970-b3b1-dd85d63e4181,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-d26c-7970-b3b1-dd85d63e4181,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,55,i,,deep_coadd - i - tract=5063 patch=55,52.9936317462798,-27.43726890557229,0.25927149531082627,POLYGON ICRS 52.890183 -27.528827 53.096924 -27.528966 53.096908 -27.345634 52.890512 -27.345496
